OID,lon,lat,FuelClass,class_id,split,source
91,172.62737893316495,-43.63135457273221,gorse_broom,2,train,main
92,172.62014584914698,-43.63092749611563,gorse_broom,2,train,main
94,172.64624345661014,-43.601408989661365,gorse_broom,2,train,main
95,172.6010023834396,-43.628170527251,gorse_broom,2,valid,main
98,172.60461605106792,-43.62283115074551,gorse_broom,2,train,main
99,172.60021229569878,-43.61233815392746,gorse_broom,2,train,main
100,172.6189162432368,-43.614173325453216,gorse_broom,2,train,main
101,172.63169446892852,-43.60344612675295,exotic_pine,3,train,main
102,172.57848533207465,-43.632788488810206,exotic_pine,3,valid,main
103,172.64064754967671,-43.60375169301891,exotic_pine,3,train,main
105,172.63329814398358,-43.605085345429934,exotic_pine,3,train,main
107,172.62948304855408,-43.5969167555381,exotic_pine,3,valid,main
108,172.63436454208122,-43.60116985920737,exotic_pine,3,valid,main
109,172.6256904469858,-43.605597877522,exotic_pine,3,valid,main
110,172.61970952221384,-43.59345834472101,exotic_pine,3,train,main
111,172.5896893243814,-43.63179688809539,exotic_pine,3,train,main
112,172.62832535856532,-43.59298457835785,exotic_pine,3,train,main
113,172.6168528321794,-43.58967508171658,exotic_pine,3,train,main
115,172.63864791798304,-43.59993569109719,exotic_pine,3,valid,main
118,172.61923748210287,-43.605757391673265,exotic_pine,3,train,main
119,172.63211930280553,-43.60641525612438,exotic_pine,3,train,main
120,172.58925348991008,-43.629178207053265,exotic_pine,3,train,main
121,172.6350916078785,-43.600562705173246,exotic_pine,3,train,main
122,172.61695142969614,-43.5926769829528,exotic_pine,3,train,main
123,172.62417407625276,-43.5968959091145,exotic_pine,3,train,main
124,172.61789802674974,-43.593905193106146,exotic_pine,3,train,main
126,172.63658744999026,-43.60487177860104,exotic_pine,3,train,main
128,172.60678238307239,-43.595263593102906,exotic_pine,3,train,main
131,172.60663877217462,-43.60420776429775,exotic_pine,3,train,main
132,172.57674576529672,-43.632385948503604,exotic_pine,3,valid,main
136,172.5935809937492,-43.63333751545348,exotic_pine,3,train,main
139,172.62307209670595,-43.61047712959819,exotic_pine,3,train,main
141,172.64007041861834,-43.60505713885813,exotic_pine,3,train,main
142,172.61818522643424,-43.615639927359744,exotic_pine,3,valid,main
143,172.62265660831218,-43.605055606238395,exotic_pine,3,train,main
144,172.62002928472478,-43.59326261159318,exotic_pine,3,train,main
145,172.63297903517523,-43.59927447426436,exotic_pine,3,valid,main
146,172.61844782737555,-43.61510040095305,exotic_pine,3,valid,main
148,172.63605268338372,-43.6095913022717,exotic_pine,3,train,main
151,172.62052472862032,-43.616247254662746,broadleaf_scrub,4,valid,main
152,172.61169551072678,-43.62994897957237,broadleaf_scrub,4,valid,main
153,172.623719436021,-43.61932161065327,broadleaf_scrub,4,train,main
154,172.60546743449123,-43.6203048033223,broadleaf_scrub,4,valid,main
155,172.610512411278,-43.62811266285671,broadleaf_scrub,4,train,main
157,172.61001274404202,-43.628986516782156,broadleaf_scrub,4,valid,main
158,172.61250278156731,-43.627174507187085,broadleaf_scrub,4,valid,main
159,172.62485133793933,-43.62949537771016,broadleaf_scrub,4,train,main
162,172.60660795775206,-43.62832911287591,broadleaf_scrub,4,valid,main
164,172.59329217707673,-43.60841098638432,broadleaf_scrub,4,train,main
165,172.6169149130227,-43.6322248376971,broadleaf_scrub,4,valid,main
166,172.62098953315797,-43.62380463833528,broadleaf_scrub,4,train,main
167,172.61848989461384,-43.62896508604723,broadleaf_scrub,4,train,main
168,172.61098927400997,-43.60486090370076,broadleaf_scrub,4,valid,main
169,172.61677249843305,-43.61107142418967,broadleaf_scrub,4,train,main
170,172.61265218749074,-43.629427617413626,broadleaf_scrub,4,train,main
171,172.61248085448545,-43.625216947122645,broadleaf_scrub,4,train,main
172,172.6119528821597,-43.63058891208682,broadleaf_scrub,4,valid,main
173,172.61472672113123,-43.62857880652938,broadleaf_scrub,4,valid,main
174,172.61474152241036,-43.63013591768594,broadleaf_scrub,4,train,main
175,172.64365559777391,-43.602238676203335,broadleaf_scrub,4,train,main
177,172.61716973164107,-43.629851501817846,broadleaf_scrub,4,train,main
179,172.6069563309128,-43.62662518172672,broadleaf_scrub,4,valid,main
180,172.60845865453442,-43.62243986453276,broadleaf_scrub,4,train,main
181,172.6295122744094,-43.622037888373,broadleaf_scrub,4,train,main
182,172.62041902940206,-43.63317009218286,broadleaf_scrub,4,train,main
184,172.61318774683946,-43.62713709368098,broadleaf_scrub,4,valid,main
185,172.6223978711734,-43.616849987217165,broadleaf_scrub,4,valid,main
186,172.6190687217668,-43.63256817085208,broadleaf_scrub,4,valid,main
188,172.60021364607633,-43.620317961755255,broadleaf_scrub,4,valid,main
189,172.6308224341315,-43.629932958395074,broadleaf_scrub,4,train,main
190,172.6445386180989,-43.605391927127535,broadleaf_scrub,4,train,main
191,172.6217673478566,-43.61621861664004,broadleaf_scrub,4,valid,main
193,172.60994041059845,-43.62674490937649,broadleaf_scrub,4,train,main
194,172.60735148396682,-43.62910205604049,broadleaf_scrub,4,train,main
197,172.6213472179772,-43.61537810334503,broadleaf_scrub,4,valid,main
198,172.60176611474833,-43.62194798080467,broadleaf_scrub,4,train,main
199,172.62434326120766,-43.62709316894437,broadleaf_scrub,4,train,main
200,172.61424600421603,-43.603345731809625,broadleaf_scrub,4,valid,main
206,172.624298270776,-43.63620690780643,bare_rock,5,train,main
207,172.62380165701924,-43.63632232758366,bare_rock,5,valid,main
208,172.62387615201112,-43.63630456456067,bare_rock,5,train,main
211,172.649758301641,-43.60702442277576,bare_rock,5,valid,main
212,172.6493254490693,-43.60687902988063,bare_rock,5,train,main
213,172.65035396246324,-43.606873176028,bare_rock,5,train,main
215,172.65022874716698,-43.60709789607024,bare_rock,5,valid,main
216,172.63779566541342,-43.60220343274059,exotic_pine,3,train,main
217,172.63988212243123,-43.60026617712914,exotic_pine,3,train,main
218,172.62594191637896,-43.59679622265791,exotic_pine,3,train,main
219,172.63904913687512,-43.59831089105945,exotic_pine,3,train,main
220,172.59886221439882,-43.60631591495347,exotic_pine,3,train,main
222,172.5984271602282,-43.60585794344249,exotic_pine,3,train,main
225,172.62211809849202,-43.60917466538326,exotic_pine,3,valid,main
256,172.59624750234275,-43.60399535561577,pasture,1,train,main
257,172.57921981893608,-43.61733508677009,pasture,1,train,main
258,172.6076516450438,-43.60261072634201,pasture,1,train,main
259,172.61906879911305,-43.619396201841155,pasture,1,train,main
260,172.5953682590636,-43.60210193602852,pasture,1,train,main
261,172.58326839090932,-43.62171590032658,pasture,1,train,main
262,172.5968962656482,-43.59879574271616,pasture,1,valid,main
263,172.62602960631642,-43.62578799762241,pasture,1,valid,main
264,172.6223146124211,-43.623090072886285,pasture,1,valid,main
265,172.63606206461398,-43.61358319847783,gorse_broom,2,train,main
266,172.60308372897185,-43.626646134981996,gorse_broom,2,train,main
267,172.6021648433082,-43.62765976541758,gorse_broom,2,train,main
268,172.60081932161043,-43.62260834451896,gorse_broom,2,train,main
269,172.5897607763392,-43.62174477286493,gorse_broom,2,train,main
270,172.59090296300568,-43.6113186928221,gorse_broom,2,train,main
271,172.61411380767444,-43.62040713876994,gorse_broom,2,valid,main
272,172.59107448745047,-43.616434341834506,gorse_broom,2,valid,main
273,172.61940814657427,-43.61491233047942,gorse_broom,2,valid,main
274,172.64166773391534,-43.604594571499405,exotic_pine,3,train,main
275,172.57728304595508,-43.63270336019676,exotic_pine,3,train,main
276,172.63857937214047,-43.602612341448136,exotic_pine,3,train,main
278,172.61070580527232,-43.63076167348706,broadleaf_scrub,4,train,main
279,172.61765214668523,-43.63185057326124,broadleaf_scrub,4,train,main
280,172.62265091290652,-43.633022374215564,broadleaf_scrub,4,train,main
281,172.60662690891235,-43.627680117531824,broadleaf_scrub,4,train,main
282,172.6085793770931,-43.6280888096092,broadleaf_scrub,4,valid,main
283,172.62103160809596,-43.63666893189886,broadleaf_scrub,4,valid,main
337,172.63230572936098,-43.599119127875085,cleared_pine,6,valid,main
338,172.63050373683288,-43.59865041090194,cleared_pine,6,valid,main
339,172.63100084221836,-43.598564244173055,cleared_pine,6,valid,main
340,172.6315085309371,-43.59826038939523,cleared_pine,6,train,main
341,172.63062051635748,-43.59824861856906,cleared_pine,6,train,main
342,172.62706108356514,-43.60190704802712,cleared_pine,6,valid,main
343,172.6324788543576,-43.6007711821477,cleared_pine,6,valid,main
344,172.6299013567258,-43.601386860532564,cleared_pine,6,valid,main
345,172.63065144807382,-43.59917061047083,cleared_pine,6,valid,main
346,172.62714204410494,-43.60217671296115,cleared_pine,6,valid,main
347,172.6323058698498,-43.60053141763778,cleared_pine,6,valid,main
348,172.62749850362897,-43.60177624127578,cleared_pine,6,valid,main
349,172.62988931577942,-43.598052434286735,cleared_pine,6,train,main
350,172.62761714078914,-43.60151202610019,cleared_pine,6,valid,main
351,172.63202233677742,-43.59802393358749,cleared_pine,6,train,main
352,172.63233657430004,-43.59879406346105,cleared_pine,6,valid,main
353,172.62994469542306,-43.60107570550618,cleared_pine,6,valid,main
354,172.63277510287742,-43.60235404463321,cleared_pine,6,valid,main
355,172.6323995066878,-43.600185578298195,cleared_pine,6,valid,main
10001,172.59163913091749,-43.62494090574152,pasture,1,train,expansion
10002,172.6332318722188,-43.614030522440814,pasture,1,train,expansion
10003,172.61941380798388,-43.58666601712085,pasture,1,train,expansion
10004,172.59402584133414,-43.603673738112114,pasture,1,train,expansion
10005,172.5990531032975,-43.596182156110736,pasture,1,valid,expansion
10006,172.6206339087145,-43.62001562111715,pasture,1,train,expansion
10007,172.59751452781202,-43.609942875880115,pasture,1,valid,expansion
10008,172.5868334713352,-43.62304834227556,pasture,1,valid,expansion
10009,172.601171173888,-43.60426120017376,pasture,1,valid,expansion
10010,172.61666533290244,-43.59664444233606,pasture,1,train,expansion
10011,172.63658238289713,-43.61253057476843,pasture,1,train,expansion
10012,172.59271647394428,-43.61447563978901,pasture,1,train,expansion
10013,172.59526779371654,-43.6145918893216,pasture,1,train,expansion
10014,172.5829572186535,-43.61861303636396,pasture,1,train,expansion
10015,172.5910428591543,-43.62662160177292,pasture,1,valid,expansion
10016,172.61898546286392,-43.58557397479169,pasture,1,train,expansion
10017,172.62242718791114,-43.58622206716691,pasture,1,train,expansion
10018,172.6152024372818,-43.619488041017775,pasture,1,train,expansion
10019,172.59245675222365,-43.626780435488136,pasture,1,train,expansion
10020,172.6382313107569,-43.60998504499545,pasture,1,train,expansion
10021,172.61878846511152,-43.58602948026703,pasture,1,train,expansion
10022,172.59696931181387,-43.598121690593814,pasture,1,valid,expansion
10023,172.62282661560073,-43.6300782497813,gorse_broom,2,train,expansion
10024,172.59815148941232,-43.62222861158762,gorse_broom,2,valid,expansion
10025,172.616138572323,-43.59841185344062,gorse_broom,2,valid,expansion
10026,172.61158424421313,-43.6205406577864,gorse_broom,2,train,expansion
10027,172.58380983550512,-43.60992730634012,gorse_broom,2,train,expansion
10028,172.60292556661713,-43.62328287782724,gorse_broom,2,train,expansion
10029,172.61117779746522,-43.616538084231486,gorse_broom,2,train,expansion
10030,172.62591359093628,-43.628919232324826,gorse_broom,2,train,expansion
10031,172.61031665641144,-43.61883140032218,gorse_broom,2,valid,expansion
10032,172.5882630028122,-43.60769949402905,gorse_broom,2,train,expansion
10033,172.58886965676888,-43.62147711042887,gorse_broom,2,valid,expansion
10034,172.5918785739325,-43.62107684411237,gorse_broom,2,valid,expansion
10035,172.59751734532043,-43.62255166087886,gorse_broom,2,train,expansion
10036,172.60067156565822,-43.625325448538206,gorse_broom,2,train,expansion
10037,172.6334007871921,-43.633901210987105,gorse_broom,2,valid,expansion
10038,172.6196185789027,-43.595036184536866,gorse_broom,2,valid,expansion
10039,172.61443721260684,-43.597988356086596,gorse_broom,2,train,expansion
10040,172.59313193657744,-43.62429220637318,gorse_broom,2,train,expansion
10041,172.63137115764818,-43.633931513597034,gorse_broom,2,train,expansion
10042,172.6111227265439,-43.617102905431246,gorse_broom,2,train,expansion
10043,172.61146856296006,-43.595749525956705,gorse_broom,2,train,expansion
10044,172.61835609512548,-43.61380221988564,gorse_broom,2,valid,expansion
10045,172.58124388415683,-43.62862161628811,exotic_pine,3,train,expansion
10046,172.63949995489375,-43.60772452012616,exotic_pine,3,train,expansion
10047,172.61999497835046,-43.59106317307849,exotic_pine,3,train,expansion
10048,172.63212502400503,-43.604040914730724,exotic_pine,3,valid,expansion
10049,172.63222458806018,-43.600663154059575,exotic_pine,3,valid,expansion
10050,172.60881135790046,-43.606200843592184,exotic_pine,3,valid,expansion
10051,172.63986013549297,-43.60476014723376,exotic_pine,3,train,expansion
10052,172.6144242200899,-43.61319645575335,exotic_pine,3,valid,expansion
10053,172.62892539126653,-43.603331407952496,exotic_pine,3,valid,expansion
10054,172.62571758829574,-43.600086139696536,exotic_pine,3,valid,expansion
10055,172.6263276181246,-43.60714909065634,exotic_pine,3,train,expansion
10056,172.63192190260398,-43.60676020886433,exotic_pine,3,valid,expansion
10057,172.6349890585699,-43.6077202974467,exotic_pine,3,train,expansion
10058,172.61833171752326,-43.6081655147585,exotic_pine,3,train,expansion
10059,172.58718356773784,-43.63215437615301,exotic_pine,3,train,expansion
10060,172.6256126759882,-43.59062699659154,exotic_pine,3,train,expansion
10061,172.61866718421385,-43.590287517880775,exotic_pine,3,train,expansion
10062,172.60632891364463,-43.60490645234683,exotic_pine,3,train,expansion
10063,172.5947646410008,-43.63185595693607,exotic_pine,3,valid,expansion
10064,172.63002569791067,-43.604948062453836,exotic_pine,3,valid,expansion
10065,172.6268220046035,-43.59072842757582,exotic_pine,3,train,expansion
10066,172.6079102167031,-43.597771769428896,exotic_pine,3,train,expansion
10067,172.62009332154267,-43.63348203886982,broadleaf_scrub,4,train,expansion
10068,172.64373470778008,-43.60354572623273,broadleaf_scrub,4,train,expansion
10069,172.62457222147617,-43.620700738988646,broadleaf_scrub,4,valid,expansion
10070,172.62852402804904,-43.62486263559888,broadleaf_scrub,4,train,expansion
10071,172.6018317416668,-43.622175260304765,broadleaf_scrub,4,valid,expansion
10072,172.6185562186374,-43.62483159627777,broadleaf_scrub,4,train,expansion
10073,172.61376030194523,-43.624862130827054,broadleaf_scrub,4,valid,expansion
10074,172.6220955135558,-43.617728495621165,broadleaf_scrub,4,train,expansion
10075,172.60872377775513,-43.621509202069255,broadleaf_scrub,4,train,expansion
10076,172.61440640495573,-43.63098541804671,broadleaf_scrub,4,train,expansion
10077,172.61969328459116,-43.62507927581921,broadleaf_scrub,4,train,expansion
10078,172.62765204256905,-43.61349925224869,broadleaf_scrub,4,train,expansion
10079,172.63957905957767,-43.59679437715957,broadleaf_scrub,4,train,expansion
10080,172.6306821029095,-43.6304871243693,broadleaf_scrub,4,valid,expansion
10081,172.61083535396506,-43.627616306629704,broadleaf_scrub,4,train,expansion
10082,172.62056270387808,-43.626044623063414,broadleaf_scrub,4,train,expansion
10083,172.62068438117845,-43.62517699006013,broadleaf_scrub,4,train,expansion
10084,172.62234794435116,-43.62813471126792,broadleaf_scrub,4,train,expansion
10085,172.6129969968007,-43.62861292046081,broadleaf_scrub,4,valid,expansion
10086,172.60085647462665,-43.62041502205909,broadleaf_scrub,4,valid,expansion
10087,172.62357544075704,-43.63233751765754,broadleaf_scrub,4,valid,expansion
10088,172.61421906449777,-43.60657701492561,broadleaf_scrub,4,valid,expansion
