OID,FuelClass,class_id,split,dem_lidar,dsm_lidar,chm
200,native_scrub,4,valid,122.57,123.89,1.3200000000000074
206,bare_rock,5,train,,,
207,bare_rock,5,valid,,,
208,bare_rock,5,train,,,
211,bare_rock,5,valid,,,
212,bare_rock,5,train,,,
213,bare_rock,5,train,,,
215,bare_rock,5,valid,,,
216,exotic_pine,3,train,125.51,142.23,16.719999999999985
217,exotic_pine,3,train,208.64,210.42999,1.7899900000000173
218,exotic_pine,3,train,176.61,177.02,0.4099999999999966
219,exotic_pine,3,train,234.28,242.82001,8.540009999999995
220,exotic_pine,3,train,199.8,203.60001,3.800009999999986
222,exotic_pine,3,train,205.06,205.13,0.06999999999999318
225,exotic_pine,3,valid,323.07001,326.04001,2.9699999999999704
256,pasture,1,train,218.50999,218.63,0.12001000000000772
257,pasture,1,train,,,
258,pasture,1,train,46.07,53.73,7.659999999999997
259,pasture,1,train,365.47,365.62,0.14999999999997726
260,pasture,1,train,183.08,183.19,0.10999999999998522
261,pasture,1,train,,,
262,pasture,1,valid,160.09,160.35001,0.2600099999999941
263,pasture,1,valid,,,
264,pasture,1,valid,442.53,444.23001,1.7000100000000202
265,gorse_broom,2,train,,,
266,gorse_broom,2,train,,,
267,gorse_broom,2,train,,,
268,gorse_broom,2,train,,,
269,gorse_broom,2,train,,,
270,gorse_broom,2,train,71.290001,71.370003,0.08000199999999325
271,gorse_broom,2,valid,312.62,313.59,0.9699999999999704
272,gorse_broom,2,valid,61.419998,62.34,0.9200020000000038
273,gorse_broom,2,valid,297.76999,297.79999,0.029999999999972715
274,exotic_pine,3,train,227.42,237.39,9.969999999999999
275,exotic_pine,3,train,,,
276,exotic_pine,3,train,144.07001,144.83,0.7599900000000162
278,native_scrub,4,train,,,
279,native_scrub,4,train,,,
280,native_scrub,4,train,,,
281,native_scrub,4,train,,,
282,native_scrub,4,valid,,,
283,native_scrub,4,valid,,,
300,cleared_pine,6,train,47.599998,48.720001,1.120003000000004
301,cleared_pine,6,train,94.139999,94.209999,0.06999999999999318
304,cleared_pine,6,train,106.85,107.76,0.9100000000000108
306,cleared_pine,6,train,124.39,125.43,1.0400000000000063
308,cleared_pine,6,valid,154.92999,155.35001,0.42001999999999384
309,cleared_pine,6,valid,87.480003,89.239998,1.7599950000000035
310,cleared_pine,6,valid,49.119999,55.860001,6.740001999999997
311,cleared_pine,6,valid,76.110001,76.330002,0.22000099999999634
315,cleared_pine,6,train,133.24001,133.33,0.08999000000000024
316,cleared_pine,6,train,166.88,172.19,5.310000000000002
317,cleared_pine,6,valid,,,
318,cleared_pine,6,valid,,,
319,cleared_pine,6,valid,165.49001,166.25999,0.7699799999999755
320,cleared_pine,6,train,,,
321,cleared_pine,6,train,89.480003,90.400002,0.9199990000000042
322,cleared_pine,6,train,,,
323,cleared_pine,6,train,,,
324,cleared_pine,6,train,,,
325,cleared_pine,6,train,,,
326,cleared_pine,6,train,110.38,110.81,0.4300000000000068
327,cleared_pine,6,train,151.95,152.62,0.6700000000000159
329,cleared_pine,6,valid,,,
330,cleared_pine,6,valid,,,
332,cleared_pine,6,train,80.870003,81.339996,0.4699930000000023
333,cleared_pine,6,train,,,
334,cleared_pine,6,train,,,
335,cleared_pine,6,train,168.38,168.69,0.3100000000000023
336,cleared_pine,6,train,152.41,152.74001,0.3300100000000157
